item_name,Alcohol,Calcium,Calories,Cholesterol,Dietary Fiber,Iron,Protein,Saturated Fat,Sodium,Sugars,Total Carbohydrate,Total Fat,Trans Fat,Vitamin A,Vitamin C,Brand Name,Meal Type,Source URL,Potassium,Caffeine,Monounsaturated Fat,Polyunsaturated Fat,Omega- Fatty Acids,Alcohol_values,Alcohol_units,Calcium_values,Calcium_units,Cholesterol_values,Cholesterol_units,Dietary Fiber_values,Dietary Fiber_units,Iron_values,Iron_units,Protein_values,Protein_units,Saturated Fat_values,Saturated Fat_units,Sodium_values,Sodium_units,Sugars_values,Sugars_units,Total Carbohydrate_values,Total Carbohydrate_units,Total Fat_values,Total Fat_units,Vitamin A_values,Vitamin A_units,Vitamin C_values,Vitamin C_units,Potassium_values,Potassium_units,Trans Fat_values,Trans Fat_units,Monounsaturated Fat_values,Monounsaturated Fat_units,Polyunsaturated Fat_values,Polyunsaturated Fat_units,Caffeine_values,Caffeine_units,Omega- Fatty Acids_values,Omega- Fatty Acids_units,Unnamed: 0,protein_check,carb_check,fat_check,carbs_calories,protein_calories,fat_calories,f_c_p,pct_fat,pct_carbs,pct_protein,fat_indicator,carbs_indicator,protein_indicator,indicator_sum
"Egg Rolls, Chicken",0 g,20 mg,170,5 mg,1 g,1 mg,5 g,1 g,440 mg,1 g,22 g,7 g,0 g,500 mg,9 mg,Michelina's,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-egg-rolls-chicken/8H1OKw9-RYmv3D8yeH2u6A,,,,,,0.0,g,20.0,mg,5.0,mg,1.0,g,1.0,mg,5.0,g,1.0,g,440.0,mg,1.0,g,22.0,g,7.0,g,500.0,mg,9.0,mg,,,0.0,g,,,,,,,,,,0,0,0,88.0,20.0,63.0,171.0,0.3684210526315789,0.5146198830409356,0.11695906432748537,0,1,1,2
"Lean Gourmet, Mandarin Chicken",0 g,20 mg,260,15 mg,2 g,1 mg,9 g,0.5 g,650 mg,7 g,46 g,3 g,0 g,1250 mg,12 mg,Michelina's,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-lean-gourmet-mandarin-chicken/1QhAIe57TL-G8oQR17iiig,,,,,,0.0,g,20.0,mg,15.0,mg,2.0,g,1.0,mg,9.0,g,0.5,g,650.0,mg,7.0,g,46.0,g,3.0,g,1250.0,mg,12.0,mg,,,0.0,g,,,,,,,,,,0,0,0,184.0,36.0,27.0,247.0,0.10931174089068826,0.7449392712550608,0.145748987854251,0,0,1,1
"Budget Gourmet, Premium, Meatloaf",0 g,60 mg,370,60 mg,2 g,2 mg,13 g,9 g,1000 mg,3 g,25 g,21 g,0 g,200 mg,5 mg,Michelina's,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-budget-gourmet-premium-meatloaf/4O7U3RtbREKbjRW7tEx3qQ,,,,,,0.0,g,60.0,mg,60.0,mg,2.0,g,2.0,mg,13.0,g,9.0,g,1000.0,mg,3.0,g,25.0,g,21.0,g,200.0,mg,5.0,mg,,,0.0,g,,,,,,,,,,0,0,0,100.0,52.0,189.0,341.0,0.5542521994134897,0.2932551319648094,0.15249266862170088,0,0,1,1
"Authentico, Roasted Garlic Chicken",0 g,200 mg,360,25 mg,2 g,3 mg,13 g,8 g,690 mg,4 g,41 g,16 g,0 g,500 mg,15 mg,Michelina's,Frozen Pizzas,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-pizzas-authentico-roasted-garlic-chicken/qPfTuQQSQBGOGX6ydmzI0g,,,,,,0.0,g,200.0,mg,25.0,mg,2.0,g,3.0,mg,13.0,g,8.0,g,690.0,mg,4.0,g,41.0,g,16.0,g,500.0,mg,15.0,mg,,,0.0,g,,,,,,,,,,0,0,0,164.0,52.0,144.0,360.0,0.4,0.45555555555555555,0.14444444444444443,0,0,1,1
"Zap'ems, Penne & Italian Sausage",0 g,40 mg,280,10 mg,3 g,3 mg,10 g,2 g,410 mg,4 g,41 g,7 g,0 g,300 mg,12 mg,Michelina's,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-zapems-penne-italian-sausage/2B_fdErVRSyLypXPn4DGZA,,,,,,0.0,g,40.0,mg,10.0,mg,3.0,g,3.0,mg,10.0,g,2.0,g,410.0,mg,4.0,g,41.0,g,7.0,g,300.0,mg,12.0,mg,,,0.0,g,,,,,,,,,,0,0,0,164.0,40.0,63.0,267.0,0.23595505617977527,0.6142322097378277,0.149812734082397,0,0,1,1
"Budget Gourmet, Premium, Lasagna w. Meat Sauce",0 g,200 mg,340,25 mg,8 g,4 mg,17 g,3 g,940 mg,5 g,52 g,9 g,0 g,750 mg,12 mg,Michelina's,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-budget-gourmet-premium-lasagna-w-meat-sauce/JQg-ATwIQRKbwaKGJL6cwg,,,,,,0.0,g,200.0,mg,25.0,mg,8.0,g,4.0,mg,17.0,g,3.0,g,940.0,mg,5.0,g,52.0,g,9.0,g,750.0,mg,12.0,mg,,,0.0,g,,,,,,,,,,0,0,0,208.0,68.0,81.0,357.0,0.226890756302521,0.5826330532212886,0.19047619047619047,0,1,1,2
"Authentico, Lasagna Alfredo",0 g,200 mg,340,40 mg,2 g,2 mg,12 g,7 g,700 mg,4 g,38 g,15 g,0 g,750 mg,6 mg,Michelina's,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-authentico-lasagna-alfredo/_jCLzxIlQQGrivPdweHW8A,,,,,,0.0,g,200.0,mg,40.0,mg,2.0,g,2.0,mg,12.0,g,7.0,g,700.0,mg,4.0,g,38.0,g,15.0,g,750.0,mg,6.0,mg,,,0.0,g,,,,,,,,,,0,0,0,152.0,48.0,135.0,335.0,0.40298507462686567,0.4537313432835821,0.14328358208955225,0,0,1,1
"Lean Gourmet, Macaroni & Cheese",0 g,100 mg,270,10 mg,2 g,3 mg,10 g,1.5 g,520 mg,3 g,47 g,3.5 g,0 g,100 mg,0 mg,Michelina's,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-lean-gourmet-macaroni-cheese/Az8o4eGDQu2seayxzbLRaA,,,,,,0.0,g,100.0,mg,10.0,mg,2.0,g,3.0,mg,10.0,g,1.5,g,520.0,mg,3.0,g,47.0,g,3.5,g,100.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,188.0,40.0,31.5,259.5,0.12138728323699421,0.7244701348747592,0.15414258188824662,0,0,1,1
Sugar-Free Chocolate Pudding Snack,0 g,100 mg,60,0 mg,1 g,1 mg,1 g,1 g,170 mg,0 g,3 g,1.5 g,0 g,0 mg,0 mg,Jell-O,Puddings,https://www.calorieking.com/us/en/foods/f/calories-in-puddings-sugar-free-chocolate-pudding-snack/JdjcW2B4TIea-1xUl5WTyQ,,,,,,0.0,g,100.0,mg,0.0,mg,1.0,g,1.0,mg,1.0,g,1.0,g,170.0,mg,0.0,g,3.0,g,1.5,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,12.0,4.0,13.5,29.5,0.4576271186440678,0.4067796610169492,0.13559322033898305,0,0,1,1
Jell-O,0 g,,160,,0 g,,2 g,,,,38 g,0 g,,,,Luby's,Desserts,https://www.calorieking.com/us/en/foods/f/calories-in-desserts-jell-o/MXx86_4ATWmrAOy7VpuYNw,,,,,,0.0,g,,,,,0.0,g,,,2.0,g,,,,,,,38.0,g,0.0,g,,,,,,,,,,,,,,,,,,0,0,0,152.0,8.0,0.0,160.0,0.0,0.95,0.05,0,0,0,0
Sugar Free Jell-O,0 g,,10,0 mg,0 g,,2 g,0 g,5 mg,0 g,0 g,0 g,0 g,,,Souper Salad,Desserts,https://www.calorieking.com/us/en/foods/f/calories-in-desserts-sugar-free-jell-o/GpGDzjhdQ2mroQw5wf6TgQ,,,,,,0.0,g,,,0.0,mg,0.0,g,,,2.0,g,0.0,g,5.0,mg,0.0,g,0.0,g,0.0,g,,,,,,,0.0,g,,,,,,,,,,0,0,0,0.0,8.0,0.0,8.0,0.0,0.0,1.0,0,0,0,0
"Dinner, Chicken Fettuccine, frozen",0 g,100 mg,250,65 mg,0 g,1 mg,17 g,2 g,440 mg,2 g,29 g,7 g,0 g,0 mg,0 mg,Jenny Craig,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-dinner-chicken-fettuccine-frozen/kVghs8aDRJ682BosKSClYw,,,,,,0.0,g,100.0,mg,65.0,mg,0.0,g,1.0,mg,17.0,g,2.0,g,440.0,mg,2.0,g,29.0,g,7.0,g,0.0,mg,0.0,mg,,,0.0,g,,,,,,,,,,0,0,0,116.0,68.0,63.0,247.0,0.2550607287449393,0.46963562753036436,0.27530364372469635,1,0,0,1
"Country Vegetable Soup, microwaveable bowl",0 g,40 mg,100,0 mg,4 g,1 mg,4 g,0 g,480 mg,4 g,20 g,0 g,0 g,1000 mg,2 mg,Healthy Choice,Soups,https://www.calorieking.com/us/en/foods/f/calories-in-soups-country-vegetable-soup-microwaveable-bowl/hlNPwVa_T-icSWbKbZ5NVw+,660 mg,,,,,0.0,g,40.0,mg,0.0,mg,4.0,g,1.0,mg,4.0,g,0.0,g,480.0,mg,4.0,g,20.0,g,0.0,g,1000.0,mg,2.0,mg,660.0,mg,0.0,g,,,,,,,,,,0,0,0,80.0,16.0,0.0,96.0,0.0,0.8333333333333334,0.16666666666666666,0,0,1,1
"Cafe Steamers, General Tso's Spicy Chicken, frozen",0 g,20 mg,290,25 mg,3 g,1 mg,16 g,1 g,580 mg,11 g,47 g,3.5 g,0 g,500 mg,2 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-cafe-steamers-general-tsos-spicy-chicken-frozen/OxQI0GyNQBqhMjIJiz5C-w,550 mg,,1.5 g,0.5 g,,0.0,g,20.0,mg,25.0,mg,3.0,g,1.0,mg,16.0,g,1.0,g,580.0,mg,11.0,g,47.0,g,3.5,g,500.0,mg,2.0,mg,550.0,mg,0.0,g,1.5,g,0.5,g,,,,,,0,0,0,188.0,64.0,31.5,283.5,0.1111111111111111,0.6631393298059964,0.2257495590828924,0,0,0,0
"Chicken & Dumplings Soup, canned",0 g,20 mg,150,30 mg,3 g,1 mg,8 g,1 g,480 mg,2 g,22 g,3 g,0 g,750 mg,2 mg,Healthy Choice,Soups,https://www.calorieking.com/us/en/foods/f/calories-in-soups-chicken-dumplings-soup-canned/qzJLwp4mSQCVWEslF009NA,380 mg,,,,,0.0,g,20.0,mg,30.0,mg,3.0,g,1.0,mg,8.0,g,1.0,g,480.0,mg,2.0,g,22.0,g,3.0,g,750.0,mg,2.0,mg,380.0,mg,0.0,g,,,,,,,,,,0,0,0,88.0,32.0,27.0,147.0,0.1836734693877551,0.5986394557823129,0.21768707482993196,0,1,0,1
"Cafe Steamers, Honey Glazed Turkey & Sweet Potatoes, frozen",0 g,60 mg,240,20 mg,5 g,1 mg,14 g,0.5 g,400 mg,18 g,42 g,1.5 g,0 g,1000 mg,12 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-cafe-steamers-honey-glazed-turkey-sweet-potatoes-frozen/46N_dWdrSDKlsL47q00xTA,1160 mg,,0.5 g,0.5 g,,0.0,g,60.0,mg,20.0,mg,5.0,g,1.0,mg,14.0,g,0.5,g,400.0,mg,18.0,g,42.0,g,1.5,g,1000.0,mg,12.0,mg,1160.0,mg,0.0,g,0.5,g,0.5,g,,,,,,0,0,0,168.0,56.0,13.5,237.5,0.056842105263157895,0.7073684210526315,0.23578947368421052,0,0,0,0
"Cafe Steamers, Beef Teriyaki, frozen",0 g,20 mg,280,35 mg,2 g,1 mg,15 g,1.5 g,450 mg,12 g,42 g,5 g,0 g,750 mg,6 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-cafe-steamers-beef-teriyaki-frozen/FD586gJgSfKqPsmYocVZ2A,620 mg,,2 g,1 g,,0.0,g,20.0,mg,35.0,mg,2.0,g,1.0,mg,15.0,g,1.5,g,450.0,mg,12.0,g,42.0,g,5.0,g,750.0,mg,6.0,mg,620.0,mg,0.0,g,2.0,g,1.0,g,,,,,,0,0,0,168.0,60.0,45.0,273.0,0.16483516483516483,0.6153846153846154,0.21978021978021978,0,0,0,0
"Vegetable Beef Soup, canned",0 g,40 mg,130,10 mg,3 g,1 mg,8 g,0.5 g,420 mg,4 g,20 g,1.5 g,0 g,1500 mg,0 mg,Healthy Choice,Soups,https://www.calorieking.com/us/en/foods/f/calories-in-soups-vegetable-beef-soup-canned/9uwc7na-RfGpNlOURkxjLA,600 mg,,,,,0.0,g,40.0,mg,10.0,mg,3.0,g,1.0,mg,8.0,g,0.5,g,420.0,mg,4.0,g,20.0,g,1.5,g,1500.0,mg,0.0,mg,600.0,mg,0.0,g,,,,,,,,,,0,0,0,80.0,32.0,13.5,125.5,0.10756972111553785,0.6374501992031872,0.2549800796812749,0,0,0,0
"Complete Meals, Beef Pot Roast, frozen",0 g,40 mg,250,40 mg,5 g,2 mg,17 g,2 g,500 mg,14 g,32 g,6 g,0 g,1000 mg,24 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-complete-meals-beef-pot-roast-frozen/Q6pUKbYcRt-d2M9icbJWHw,800 mg,,3 g,1 g,,0.0,g,40.0,mg,40.0,mg,5.0,g,2.0,mg,17.0,g,2.0,g,500.0,mg,14.0,g,32.0,g,6.0,g,1000.0,mg,24.0,mg,800.0,mg,0.0,g,3.0,g,1.0,g,,,,,,0,0,0,128.0,68.0,54.0,250.0,0.216,0.512,0.272,0,1,0,1
"Simply Steamers, Grilled Basil Chicken, frozen",0 g,40 mg,230,30 mg,5 g,1 mg,19 g,1 g,490 mg,3 g,25 g,6 g,0 g,750 mg,9 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-simply-steamers-grilled-basil-chicken-frozen/_ticqUA_RxuiJ7TROLI-XA,600 mg,,2.5 g,1.5 g,,0.0,g,40.0,mg,30.0,mg,5.0,g,1.0,mg,19.0,g,1.0,g,490.0,mg,3.0,g,25.0,g,6.0,g,750.0,mg,9.0,mg,600.0,mg,0.0,g,2.5,g,1.5,g,,,,,,0,0,0,100.0,76.0,54.0,230.0,0.23478260869565218,0.43478260869565216,0.33043478260869563,0,0,0,0
"Power Bowl, Cuban-Inspired Pork, frozen",0 g,40 mg,340,40 mg,7 g,2 mg,20 g,2.5 g,600 mg,9 g,46 g,8 g,0 g,750 mg,18 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-power-bowl-cuban-inspired-pork-frozen/w8hmRbuWRVqC5DAiq0J4vw,600 mg,,4 g,1.5 g,,0.0,g,40.0,mg,40.0,mg,7.0,g,2.0,mg,20.0,g,2.5,g,600.0,mg,9.0,g,46.0,g,8.0,g,750.0,mg,18.0,mg,600.0,mg,0.0,g,4.0,g,1.5,g,,,,,,0,0,0,184.0,80.0,72.0,336.0,0.21428571428571427,0.5476190476190477,0.23809523809523808,0,1,0,1
"Simply Steamers, Beef & Broccoli, frozen",0 g,20 mg,280,50 mg,3 g,2 mg,22 g,2 g,500 mg,6 g,32 g,7 g,0 g,0 mg,9 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-simply-steamers-beef-broccoli-frozen/ZHkEoQpfRHuMewnDboX0zQ,560 mg,,3 g,1.5 g,,0.0,g,20.0,mg,50.0,mg,3.0,g,2.0,mg,22.0,g,2.0,g,500.0,mg,6.0,g,32.0,g,7.0,g,0.0,mg,9.0,mg,560.0,mg,0.0,g,3.0,g,1.5,g,,,,,,0,0,0,128.0,88.0,63.0,279.0,0.22580645161290322,0.45878136200716846,0.3154121863799283,0,0,0,0
"Complete Meals, Lemon Pepper Fish, frozen",0 g,40 mg,330,30 mg,4 g,1 mg,14 g,1 g,530 mg,18 g,58 g,4 g,0 g,400 mg,21 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-complete-meals-lemon-pepper-fish-frozen/yixorIXwTfudRIC0bwV7RQ,460 mg,,2 g,1 g,,0.0,g,40.0,mg,30.0,mg,4.0,g,1.0,mg,14.0,g,1.0,g,530.0,mg,18.0,g,58.0,g,4.0,g,400.0,mg,21.0,mg,460.0,mg,0.0,g,2.0,g,1.0,g,,,,,,0,0,0,232.0,56.0,36.0,324.0,0.1111111111111111,0.7160493827160493,0.1728395061728395,0,0,1,1
"Cafe Steamers, Asian Potstickers, frozen",0 g,0 mg,340,5 mg,3 g,1 mg,7 g,0.5 g,500 mg,19 g,70 g,3 g,0 g,400 mg,9 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-cafe-steamers-asian-potstickers-frozen/M1-kvHDuR3ivUkhozsF9nA,180 mg,,1 g,1.5 g,,0.0,g,0.0,mg,5.0,mg,3.0,g,1.0,mg,7.0,g,0.5,g,500.0,mg,19.0,g,70.0,g,3.0,g,400.0,mg,9.0,mg,180.0,mg,0.0,g,1.0,g,1.5,g,,,,,,0,0,0,280.0,28.0,27.0,335.0,0.08059701492537313,0.835820895522388,0.08358208955223881,0,0,0,0
"Cafe Steamers, Sweet Sesame Chicken, frozen",0 g,0 mg,300,35 mg,3 g,1 mg,16 g,1.5 g,460 mg,13 g,43 g,6 g,0 g,500 mg,6 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-cafe-steamers-sweet-sesame-chicken-frozen/oeULnGWmQKuyTXXStdT0EQ,490 mg,,3 g,2 g,,0.0,g,0.0,mg,35.0,mg,3.0,g,1.0,mg,16.0,g,1.5,g,460.0,mg,13.0,g,43.0,g,6.0,g,500.0,mg,6.0,mg,490.0,mg,0.0,g,3.0,g,2.0,g,,,,,,0,0,0,172.0,64.0,54.0,290.0,0.18620689655172415,0.593103448275862,0.2206896551724138,0,1,0,1
"Simply Steamers, Grilled Chicken & Broccoli Alfredo",0 g,60 mg,190,85 mg,4 g,1 mg,28 g,2.5 g,600 mg,2 g,8 g,5 g,0 g,0 mg,18 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-simply-steamers-grilled-chicken-broccoli-alfredo/gDrQjTp5Qg2w8GPkSRvnww,1180 mg,,2 g,1 g,,0.0,g,60.0,mg,85.0,mg,4.0,g,1.0,mg,28.0,g,2.5,g,600.0,mg,2.0,g,8.0,g,5.0,g,0.0,mg,18.0,mg,1180.0,mg,0.0,g,2.0,g,1.0,g,,,,,,0,0,0,32.0,112.0,45.0,189.0,0.23809523809523808,0.1693121693121693,0.5925925925925926,0,0,0,0
"Classics, Golden Roasted Turkey Breast, frozen",0 g,40 mg,250,25 mg,5 g,2 mg,18 g,1 g,600 mg,11 g,33 g,4.5 g,0 g,0 mg,30 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-classics-golden-roasted-turkey-breast-frozen/XTjEXi2dTHW2ANRDIIrM8Q,890 mg,,2.5 g,1 g,,0.0,g,40.0,mg,25.0,mg,5.0,g,2.0,mg,18.0,g,1.0,g,600.0,mg,11.0,g,33.0,g,4.5,g,0.0,mg,30.0,mg,890.0,mg,0.0,g,2.5,g,1.0,g,,,,,,0,0,0,132.0,72.0,40.5,244.5,0.1656441717791411,0.5398773006134969,0.294478527607362,0,1,0,1
"Simply Steamers, Grilled Chicken Marsala, frozen",0 g,40 mg,180,50 mg,4 g,1 mg,17 g,1 g,460 mg,4 g,21 g,3 g,0 g,0 mg,6 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-simply-steamers-grilled-chicken-marsala-frozen/XcPt0QVhRiG3194BIrDtkA,1210 mg,,1.5 g,0.5 g,,0.0,g,40.0,mg,50.0,mg,4.0,g,1.0,mg,17.0,g,1.0,g,460.0,mg,4.0,g,21.0,g,3.0,g,0.0,mg,6.0,mg,1210.0,mg,0.0,g,1.5,g,0.5,g,,,,,,0,0,0,84.0,68.0,27.0,179.0,0.15083798882681565,0.4692737430167598,0.37988826815642457,0,0,0,0
"Cafe Steamers, Pineapple Chicken, frozen",0 g,20 mg,290,35 mg,3 g,1 mg,16 g,1 g,470 mg,15 g,45 g,4.5 g,0 g,0 mg,18 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-cafe-steamers-pineapple-chicken-frozen/tytKT7zVS86KsYV-l115aA,600 mg,,2 g,1 g,,0.0,g,20.0,mg,35.0,mg,3.0,g,1.0,mg,16.0,g,1.0,g,470.0,mg,15.0,g,45.0,g,4.5,g,0.0,mg,18.0,mg,600.0,mg,0.0,g,2.0,g,1.0,g,,,,,,0,0,0,180.0,64.0,40.5,284.5,0.14235500878734622,0.632688927943761,0.22495606326889278,0,0,0,0
"Cafe Steamers, Beef Merlot, frozen",0 g,40 mg,180,55 mg,4 g,1 mg,15 g,1.5 g,600 mg,4 g,20 g,4 g,0 g,500 mg,1 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-cafe-steamers-beef-merlot-frozen/nkFyFAYwTlWemb82XSk7Rg,710 mg,,1.5 g,0 g,,0.0,g,40.0,mg,55.0,mg,4.0,g,1.0,mg,15.0,g,1.5,g,600.0,mg,4.0,g,20.0,g,4.0,g,500.0,mg,1.0,mg,710.0,mg,0.0,g,1.5,g,0.0,g,,,,,,0,0,0,80.0,60.0,36.0,176.0,0.20454545454545456,0.45454545454545453,0.3409090909090909,0,0,0,0
"Baked, Lasagna, with Meat Sauce, frozen",0 g,200 mg,280,15 mg,6 g,2 mg,18 g,2.5 g,380 mg,9 g,39 g,5 g,0 g,500 mg,2 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-baked-lasagna-with-meat-sauce-frozen/Ku4x3_jeS2KMVqShd0SgEg,630 mg,,1.5 g,0.5 g,,0.0,g,200.0,mg,15.0,mg,6.0,g,2.0,mg,18.0,g,2.5,g,380.0,mg,9.0,g,39.0,g,5.0,g,500.0,mg,2.0,mg,630.0,mg,0.0,g,1.5,g,0.5,g,,,,,,0,0,0,156.0,72.0,45.0,273.0,0.16483516483516483,0.5714285714285714,0.26373626373626374,0,1,0,1
"Baked, Lasagna, with Meat Sauce, frozen",0 g,200 mg,280,15 mg,6 g,2 mg,18 g,2.5 g,380 mg,9 g,39 g,5 g,0 g,500 mg,2 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-baked-lasagna-with-meat-sauce-frozen/Ku4x3_jeS2KMVqShd0SgEg,630 mg,,1.5 g,0.5 g,,0.0,g,200.0,mg,15.0,mg,6.0,g,2.0,mg,18.0,g,2.5,g,380.0,mg,9.0,g,39.0,g,5.0,g,500.0,mg,2.0,mg,630.0,mg,0.0,g,1.5,g,0.5,g,,,,,,0,0,0,156.0,72.0,45.0,273.0,0.16483516483516483,0.5714285714285714,0.26373626373626374,0,1,0,1
"Power Bowl, Chicken Sausage & Barley Bowl",0 g,100 mg,340,35 mg,8 g,2 mg,16 g,2.5 g,600 mg,11 g,52 g,7 g,0 g,5000 mg,4 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-power-bowl-chicken-sausage-barley-bowl/RcPB0diJSACVuGIRcja-5w,520 mg,,2.5 g,1.5 g,,0.0,g,100.0,mg,35.0,mg,8.0,g,2.0,mg,16.0,g,2.5,g,600.0,mg,11.0,g,52.0,g,7.0,g,5000.0,mg,4.0,mg,520.0,mg,0.0,g,2.5,g,1.5,g,,,,,,0,0,0,208.0,64.0,63.0,335.0,0.1880597014925373,0.6208955223880597,0.191044776119403,0,0,1,1
"Cafe Steamers, Grilled Chicken Pesto, with Vegetables, frozen",0 g,60 mg,290,35 mg,3 g,2 mg,20 g,2 g,590 mg,2 g,36 g,7 g,0 g,0 mg,1 mg,Healthy Choice,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-cafe-steamers-grilled-chicken-pesto-with-vegetables-frozen/mTD5D40fTcKp4eC98YA4Xg,570 mg,,3 g,1.5 g,,0.0,g,60.0,mg,35.0,mg,3.0,g,2.0,mg,20.0,g,2.0,g,590.0,mg,2.0,g,36.0,g,7.0,g,0.0,mg,1.0,mg,570.0,mg,0.0,g,3.0,g,1.5,g,,,,,,0,0,0,144.0,80.0,63.0,287.0,0.21951219512195122,0.5017421602787456,0.2787456445993031,0,1,0,1
"Comfort, Roasted Turkey Breast With Savory Herb Dressing And Cinnamon Apples",,,290,30 mg,1 g,,15 g,1 g,660 mg,23 g,48 g,4 g,0 g,,,Lean Cuisine,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-comfort-roasted-turkey-breast-with-savory-herb-dressing-and-cinnamon-apples/H_0inqazTEaa5Rd22uCl_g,520 mg,,,,,,,,,30.0,mg,1.0,g,,,15.0,g,1.0,g,660.0,mg,23.0,g,48.0,g,4.0,g,,,,,520.0,mg,0.0,g,,,,,,,,,,0,0,0,192.0,60.0,36.0,288.0,0.125,0.6666666666666666,0.20833333333333334,0,0,0,0
"Favorites, Alfredo Pasta with Chicken & Broccoli",,,280,30 mg,2 g,,17 g,2 g,600 mg,4 g,45 g,4 g,0 g,,,Lean Cuisine,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-favorites-alfredo-pasta-with-chicken-broccoli/UNkSRi_mQj6ljHhA0KxN6g,530 mg,,1 g,1 g,,,,,,30.0,mg,2.0,g,,,17.0,g,2.0,g,600.0,mg,4.0,g,45.0,g,4.0,g,,,,,530.0,mg,0.0,g,1.0,g,1.0,g,,,,,,0,0,0,180.0,68.0,36.0,284.0,0.1267605633802817,0.6338028169014085,0.23943661971830985,0,0,0,0
"Favorites, Lasagna with Meat Sauce",,,320,25 mg,4 g,,18 g,4 g,650 mg,9 g,45 g,8 g,0 g,,,Lean Cuisine,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-favorites-lasagna-with-meat-sauce/7G-wa6wYSPuYtfTWbbdocg,650 mg,,2 g,1 g,,,,,,25.0,mg,4.0,g,,,18.0,g,4.0,g,650.0,mg,9.0,g,45.0,g,8.0,g,,,,,650.0,mg,0.0,g,2.0,g,1.0,g,,,,,,0,0,0,180.0,72.0,72.0,324.0,0.2222222222222222,0.5555555555555556,0.2222222222222222,0,1,0,1
"Comfort, Salisbury Steak With Macaroni & Cheese",,,280,45 mg,2 g,,23 g,4 g,540 mg,3 g,28 g,8 g,0 g,,,Lean Cuisine,Frozen Meals,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-comfort-salisbury-steak-with-macaroni-cheese/qzfDsiyYRr2F0UErV15HoQ,760 mg,,3 g,0 g,,,,,,45.0,mg,2.0,g,,,23.0,g,4.0,g,540.0,mg,3.0,g,28.0,g,8.0,g,,,,,760.0,mg,0.0,g,3.0,g,0.0,g,,,,,,0,0,0,112.0,92.0,72.0,276.0,0.2608695652173913,0.4057971014492754,0.3333333333333333,1,0,0,1
